route;age;wifi;travel;game;pet;instrument
CS;20;4;60;Valorant;yes;
SE;21;3;53;Europa Universalis;yes;
SE;22;5;63;Fallout: New Vegas;yes;string
SE;27;4;43;binding of isaac;yes;
SE;30;4;50;binding of isaac;no;aerophone
GD;21;5;80;minecraft;Yes;keyboard
GD;22;5;80;minecraft;yes;string
SE;27;4;43;binding of isaac;Yes;string
GD;21;5;60;The Last of Us;yes;string
GD;21;5;60;the last of us;Yes;string
SE;21;5;60;The Last of Us;yes;string
SE;24;4;35;Candy Crush;no;string
SE;26;4;50;dead space;no;string
SE;19;3;45;Sims;no;
SE;26;4;50;dead space;no;string
CS;20;4;60;Valorant;Yes;
